NumNodes, NumProcsPerNode, NumProcs, BinLen, Iters, StoragePerNode, StoragePerState, StoragePerNodeTemporary, Time(s)
1,1,1,6,500,0.38,0.25,0.12500,1903
1,2,2,6,500,0.38,0.25,0.12500,1018
1,4,4,6,500,0.38,0.25,0.12500,558
1,8,8,6,500,0.38,0.25,0.12500,322
1,16,16,6,500,0.38,0.25,0.12500,200
1,32,32,6,500,0.38,0.25,0.12500,146
1,32,32,8,500,6.00,4.00,2.00000,34856
2,32,64,8,500,3.00,2.00,1.00000,18852
4,32,128,8,500,1.50,1.00,0.50000,10868
8,32,256,8,500,0.75,0.50,0.25000,6663
16,32,512,8,500,0.38,0.25,0.12500,4562
32,32,1024,8,500,0.19,0.12,0.06250,3618
1,16,16,8,500,6.00,4.00,2.00000,67360
2,16,32,8,500,3.00,2.00,1.00000,35058
4,16,64,8,500,1.50,1.00,0.50000,19022
8,16,128,8,500,0.75,0.50,0.25000,11020
16,16,256,8,500,0.38,0.25,0.12500,6624
32,16,512,8,500,0.19,0.12,0.06250,4743
1,8,8,8,500,6.00,4.00,2.00000,131896
2,8,16,8,500,3.00,2.00,1.00000,67604
4,8,32,8,500,1.50,1.00,0.50000,35216
8,8,64,8,500,0.75,0.50,0.25000,19080
16,8,128,8,500,0.38,0.25,0.12500,10981
32,8,256,8,500,0.19,0.12,0.06250,6721

